"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AcrobatNotificationClient","1","428","292143104","1445888","27648000","24384","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe",,"0.5",,,,,"Process","8",,"False",,"4224","Microsoft.Win32.SafeHandles.SafeProcessHandle","428","23264",".","0","","System.Diagnostics.ProcessModule (AcrobatNotificationClient.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24384","24384","27648000","27648000","405784","405784","27951104","27951104","32235520","32235520","297385984","297385984","True","Normal","27648000","27648000","00:00:00.2656250","AcrobatNotificationClient","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:26:01 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5000000","00:00:00.2343750","292143104","292143104","False",,,,"1445888","1445888",,
"AdobeCollabSync","1","381","174288896","7012352","7335936","19704","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AdobeCollabSync.exe","Adobe Systems Incorporated","756.8125","20.12.20048.400142","20.12.20048.400142","Adobe Collaboration Synchronizer 20.12","","Process","8",,"False",,"8020","Microsoft.Win32.SafeHandles.SafeProcessHandle","381","14460",".","0","","System.Diagnostics.ProcessModule (AdobeCollabSync.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","19704","19704","7335936","7335936","189392","189392","7528448","7528448","15433728","15433728","183463936","183463936","True","Normal","7335936","7335936","00:05:33.7031250","AdobeCollabSync","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:23:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:12:36.8125000","00:07:03.1093750","174288896","174288896","False",,,,"7012352","7012352",,
"AdobeCollabSync","1","283","159039488","4771840","4202496","15168","C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AdobeCollabSync.exe","Adobe Systems Incorporated","0.609375","20.12.20048.400142","20.12.20048.400142","Adobe Collaboration Synchronizer 20.12","","Process","8",,"False",,"8112","Microsoft.Win32.SafeHandles.SafeProcessHandle","283","14680",".","0","","System.Diagnostics.ProcessModule (AdobeCollabSync.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15168","15168","4202496","4202496","189928","189928","4759552","4759552","11964416","11964416","169701376","169701376","True","Normal","4202496","4202496","00:00:00.5156250","AdobeCollabSync","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:23:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6093750","00:00:00.0937500","159039488","159039488","False",,,,"4771840","4771840",,
"AppleMobileDeviceService","0","311","4483903488","13041664","6230016","27232","C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe","Apple Inc.","136.65625","486.0.2.23","","MobileDeviceService","","Process","8",,"False",,"7856","Microsoft.Win32.SafeHandles.SafeProcessHandle","311","13360",".","0","","System.Diagnostics.ProcessModule (AppleMobileDeviceService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27232","27232","6230016","6230016","232552","232552","6426624","6426624","15622144","15622144","195227648","4490194944","True","Normal","6230016","6230016","00:01:41.5625000","AppleMobileDeviceService","4095","True","0","System.Diagnostics.ProcessStartInfo","10/29/2020 4:57:27 PM",,"System.Diagnostics.ProcessThreadCollection","00:02:16.6562500","00:00:35.0937500","188936192","4483903488","False",,,,"13041664","13041664",,
"ApplicationFrameHost","1","567","2203611418624","28008448","32333824","33720","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","15.46875","10.0.18362.1 (WinBuild.160101.0800)","10.0.18362.1","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"7668","Microsoft.Win32.SafeHandles.SafeProcessHandle","567","3744",".","7277076","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33720","33720","32333824","32333824","429048","429048","43851776","43851776","38027264","38027264","304021504","2203622244352","True","Normal","32333824","32333824","00:00:10.0156250","ApplicationFrameHost","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 5:06:17 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:15.4687500","00:00:05.4531250","293195776","2203611418624","False",,,,"28008448","28008448",,
"AppVShNotify","1","165","4400943104","7294976","2027520","9208","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","Microsoft Corporation","0.015625","5.2.158.0","5.2.158.0","AppVShNotify","Microsoft Application Virtualization (App-V)","Process","8",,"False",,"6660","Microsoft.Win32.SafeHandles.SafeProcessHandle","165","8892",".","0","","System.Diagnostics.ProcessModule (AppVShNotify.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9208","9208","2027520","2027520","144256","144256","2248704","2248704","8511488","8511488","113577984","4408545280","True","Normal","2027520","2027520","00:00:00.0156250","AppVShNotify","4095","True","1","System.Diagnostics.ProcessStartInfo","10/30/2020 4:29:35 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","105975808","4400943104","False",,,,"7294976","7294976",,
"AppVShNotify","0","166","4380459008","7344128","1826816","8816","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","Microsoft Corporation","0.03125","5.2.158.0","5.2.158.0","AppVShNotify","Microsoft Application Virtualization (App-V)","Process","8",,"False",,"6412","Microsoft.Win32.SafeHandles.SafeProcessHandle","166","19540",".","0","","System.Diagnostics.ProcessModule (AppVShNotify.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8816","8816","1826816","1826816","104616","104616","2052096","2052096","8409088","8409088","92831744","4387799040","True","Normal","1826816","1826816","00:00:00.0312500","AppVShNotify","4095","True","0","System.Diagnostics.ProcessStartInfo","10/30/2020 4:29:35 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","85491712","4380459008","False",,,,"7344128","7344128",,
"armsvc","0","322","105082880","14737408","4403200","17640","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","Adobe Inc.","0.25","1.824.39.9311","1.824.39.9311","Adobe Acrobat Update Service","Adobe Acrobat Update Service","Process","8",,"False",,"8160","Microsoft.Win32.SafeHandles.SafeProcessHandle","322","5040",".","0","","System.Diagnostics.ProcessModule (armsvc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17640","17640","4403200","4403200","148936","148936","5787648","5787648","17879040","17879040","128413696","128413696","True","Normal","4403200","4403200","00:00:00.1875000","armsvc","4095","True","0","System.Diagnostics.ProcessStartInfo","10/24/2020 4:20:09 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2500000","00:00:00.0625000","105082880","105082880","False",,,,"14737408","14737408",,
"audiodg","0","400","2203466493952","45031424","34775040","30792","C:\WINDOWS\system32\AUDIODG.EXE","Microsoft Corporation","2729.890625","10.0.18362.1 (WinBuild.160101.0800)","10.0.18362.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"5072","Microsoft.Win32.SafeHandles.SafeProcessHandle","400","24752",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","14131200","12922880","System.Diagnostics.ProcessModuleCollection","30792","30792","34775040","34775040","135752","135752","35016704","35016704","45195264","45195264","158322688","2203476545536","True","Normal","34775040","34775040","00:25:13.6875000","audiodg","4095","True","0","System.Diagnostics.ProcessStartInfo","10/31/2020 5:07:36 PM",,"System.Diagnostics.ProcessThreadCollection","00:45:29.8906250","00:20:16.2031250","148271104","2203466493952","False",,,,"45031424","45031424",,
"cam_helper","1","185","4429201408","4481024","2441216","10912","C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\native\target\release\cam_helper.exe","","1.796875","0.43.1","0.43.1","","rust-cam-worker","Process","8",,"False",,"7396","Microsoft.Win32.SafeHandles.SafeProcessHandle","185","4852",".","0","","System.Diagnostics.ProcessModule (cam_helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10912","10912","2441216","2441216","187808","187808","2519040","2519040","10301440","10301440","138665984","4433633280","True","Normal","2441216","2441216","00:00:01.7656250","cam_helper","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:24:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.7968750","00:00:00.0312500","134234112","4429201408","False",,,,"4481024","4481024",,
"cam_helper","1","201","4428775424","4141056","2187264","11416","C:\Program Files\NZXT CAM\resources\app.asar.unpacked\node_modules\@nzxt\rust-cam\dist\native\target\release\cam_helper.exe","","0.140625","0.43.1","0.43.1","","rust-cam-worker","Process","8",,"False",,"4612","Microsoft.Win32.SafeHandles.SafeProcessHandle","201","18916",".","0","","System.Diagnostics.ProcessModule (cam_helper.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11416","11416","2187264","2187264","190888","190888","2285568","2285568","8876032","8876032","137601024","4432568320","True","Normal","2187264","2187264","00:00:00.1406250","cam_helper","4095","True","1","System.Diagnostics.ProcessStartInfo","10/24/2020 4:24:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1406250","00:00:00","133808128","4428775424","False",,,,"4141056","4141056",,
